platform,job_title,category,skills_required,job_type,budget_usd,location_preference,duration_estimate,url
Freelancer.com,Video Editing Tutor for Personal Project,Mixed,,Fixed,75,Worldwide,Short-term,https://www.freelancer.com/projects/video-editing-tutor-for-personal
Freelancer.com,Development of an AI-Powered Stock Analysis Platform,Mixed,"Android, HTML, JavaScript, PHP, Website Design",Fixed,30992,Worldwide,Short-term,https://www.freelancer.com/projects/android/development-powered-stock-analysis
Freelancer.com,Bookkeeping and VAT Returns Support,Mixed,,Fixed,89,Worldwide,Short-term,https://www.freelancer.com/projects/bookkeeping-vat-returns-support-fix
Freelancer.com,Dynamic Fashion Video Editor,Mixed,"After Effects, Animation, Video Editing, Video Production, Videography",Fixed,94,Worldwide,Short-term,https://www.freelancer.com/projects/video-editing/dynamic-fashion-video-editor
Freelancer.com,"Education document verification required from the Catholic University of Louvain, Belgium",Mixed,"Data Collection, Excel, PDF, Word",Fixed,28,Worldwide,Short-term,https://www.freelancer.com/projects/data-collection/education-document-verification-required
Freelancer.com,"High Level Software Marketing Specialist using ""High Level"" software package",Mixed,"Facebook Marketing, Google Adwords, Internet Marketing, Marketing, Sales",Fixed,18,Worldwide,Short-term,https://www.freelancer.com/projects/internet-marketing/high-level-software-marketing-specialist
Freelancer.com,Developer Interview Proxy,Mixed,"Mobile App Development, Website Design",Fixed,18,Worldwide,Short-term,https://www.freelancer.com/projects/website-design/developer-interview-proxy
Freelancer.com,Classic Passbook Design,Mixed,"Graphic Design, Illustrator, Logo Design, Photoshop, Photoshop Design",Fixed,12,Worldwide,Short-term,https://www.freelancer.com/projects/graphic-design/classic-passbook-design
Freelancer.com,Quick Photoshop Task - Face Swap,Mixed,"Graphic Design, Illustrator, Photo Editing, Photoshop, Photoshop Design",Fixed,19,Worldwide,Short-term,https://www.freelancer.com/projects/graphic-design/quick-photoshop-task-face-swap
Freelancer.com,Massage parlor logo,Mixed,"Graphic Design, Illustrator, Logo Design, Photoshop, Photoshop Design",Fixed,28,Worldwide,Short-term,https://www.freelancer.com/projects/logo-design/massage-parlor-logo
Freelancer.com,Skilled Worker Recruiter for Europe,Mixed,"Data Entry, Web Search",Fixed,117,Worldwide,Short-term,https://www.freelancer.com/projects/web-search/skilled-worker-recruiter-for-europe
Freelancer.com,Central AC HVAC Design for Large Home,Mixed,"AutoCAD, Building Architecture, CAD/CAM",Fixed,387,Worldwide,Short-term,https://www.freelancer.com/projects/autocad/central-hvac-design-for-large
Freelancer.com,Investment Firm Website Redesign,Mixed,"Graphic Design, HTML, PHP, Website Design",Fixed,55,Worldwide,Short-term,https://www.freelancer.com/projects/graphic-design/investment-firm-website-redesign
Freelancer.com,Modern Minimalist Logo Design for our company name....imaginAble Studio,Mixed,"Graphic Design, Illustrator, Logo Design, Photoshop, Photoshop Design",Fixed,50,Worldwide,Short-term,https://www.freelancer.com/contest/modern-minimalist-logo-design-for-our-company-nameimaginable-studio-2581227
Freelancer.com,Single-Family Home Construction,Mixed,"Building Architecture, Business Plans, Home Design, Project Management, Report Writing",Fixed,33,Worldwide,Short-term,https://www.freelancer.com/projects/building-architecture/single-family-home-construction-39547013
Freelancer.com,Comprehensive Home Maintenance and Cleaning Services,Mixed,"Logo Animation, Logo Design, Website Design",Fixed,25,Worldwide,Short-term,https://www.freelancer.com/contest/comprehensive-home-maintenance-and-cleaning-services-2581224
Freelancer.com,Odoo 18 Hospital ERP Customization,Mixed,"ERP, Linux, PostgreSQL, Python",Fixed,140,Worldwide,Short-term,https://www.freelancer.com/projects/python/odoo-hospital-erp-customization
Freelancer.com,Meesho Catalogue Setup,Mixed,"Amazon Web Services, Data Entry, Data Processing, eBay, Product Descriptions",Fixed,73,Worldwide,Short-term,https://www.freelancer.com/projects/ebay/meesho-catalogue-setup
Freelancer.com,iOS App ASO Specialist Needed,Mixed,"Internet Marketing, Link Building, Marketing, Search Engine Marketing, SEO",Fixed,17,Worldwide,Short-term,https://www.freelancer.com/projects/internet-marketing/ios-app-aso-specialist-needed
Freelancer.com,Psychology Platform for Employee,Mixed,"C# Programming, Graphic Design, HTML, Java, MySQL, Python, Website Design",Fixed,461,Worldwide,Short-term,https://www.freelancer.com/projects/website-design/psychology-platform-for-employee
Freelancer.com,Corporate Sales Flyer Design,Mixed,"Advertisement Design, Brochure Design, Flyer Design, Graphic Design, Photoshop",Fixed,31,Worldwide,Short-term,https://www.freelancer.com/projects/graphic-design/corporate-sales-flyer-design
Freelancer.com,Expert Needed: YouTube Thumbnail & Title,Mixed,"Article Writing, Content Writing, Copywriting, Ghostwriting, Internet Marketing",Fixed,21,Worldwide,Short-term,https://www.freelancer.com/projects/content-writing/expert-needed-youtube-thumbnail-title
Freelancer.com,Website Marketing Copy Writer - 26/06/2025 12:21 EDT,Mixed,"Article Writing, Content Writing, Copywriting, Ghostwriting, Marketing",Fixed,29,Worldwide,Short-term,https://www.freelancer.com/projects/articles/website-marketing-copy-writer-edt
Freelancer.com,Social Media Video Editor,Mixed,"After Effects, Video Editing, Video Production, Video Services, Videography",Fixed,18,Worldwide,Short-term,https://www.freelancer.com/projects/video-editing/social-media-video-editor-39550082
Freelancer.com,Convert JPEGs to Organized PDFs,Mixed,"Copy Typing, Data Entry, Excel, PDF, Photoshop",Fixed,105,Worldwide,Short-term,https://www.freelancer.com/projects/pdf/convert-jpegs-organized-pdfs
Freelancer.com,Python Developer for Automated Stock Trading -- 2,Mixed,"Python, Software Architecture, Statistical Analysis, Statistics",Fixed,102,Worldwide,Short-term,https://www.freelancer.com/projects/python/python-developer-for-automated-stock-39550086
Freelancer.com,Off-Page SEO for Kids' Fashion,Mixed,"Blog Writing, Internet Marketing, Link Building, Marketing, SEO, Technical Writing, White Hat SEO",Fixed,89,Worldwide,Short-term,https://www.freelancer.com/projects/seo/off-page-seo-for-kids
Freelancer.com,Urgent Financial Dashboard Development,Mixed,"Accounting, Excel, Excel Macros, Excel VBA, Finance",Fixed,15,Worldwide,Short-term,https://www.freelancer.com/projects/excel/urgent-financial-dashboard-development
Freelancer.com,College Attendance System Development,Mixed,"Android, Mobile App Development, MySQL, PHP, Software Architecture",Fixed,293,Worldwide,Short-term,https://www.freelancer.com/projects/android/college-attendance-system-development
Freelancer.com,Data Entry and Cleanup Specialist Needed,Mixed,"Data Entry, Excel",Fixed,2,Worldwide,Short-term,https://www.freelancer.com/projects/excel/data-entry-cleanup-specialist-needed-39550066
Freelancer.com,Figma to Responsive HTML/CSS/JS Conversion,Mixed,"CSS, HTML, JavaScript, PSD to HTML, Website Design",Fixed,7,Worldwide,Short-term,https://www.freelancer.com/projects/css/figma-responsive-html-css-conversion-39550078
Freelancer.com,Share Your Experience -- 3,Mixed,"Amazon, Data Entry, Excel, Product Sourcing",Fixed,25,Worldwide,Short-term,https://www.freelancer.com/projects/excel/share-your-experience-39550067
Freelancer.com,Epic Song Beat Marker,Mixed,"Audio Production, Audio Services, Sound Design, Video Editing, Video Services",Fixed,24,Worldwide,Short-term,https://www.freelancer.com/projects/video-editing/epic-song-beat-marker
Freelancer.com,Reliable Facebook Ads Manager,Mixed,"Advertising, Facebook Marketing, Internet Marketing, Marketing, Social Media Marketing",Fixed,6,Worldwide,Short-term,https://www.freelancer.com/projects/facebook-marketing/reliable-facebook-ads-manager
Freelancer.com,Modern 3D Staircase Rendering Expert Needed -- 3,Mixed,"3D Modelling, 3D Rendering, 3ds Max, Home Design, Interior Design",Fixed,57,Worldwide,Short-term,https://www.freelancer.com/projects/rendering/modern-staircase-rendering-expert-needed-39550074
Freelancer.com,WP Dev for GeneratePress Relauch,Mixed,"CSS, HTML, PHP, React.js, REST API, Website Design, WordPress",Fixed,12,Worldwide,Short-term,https://www.freelancer.com/projects/php/dev-for-generatepress-relauch
Freelancer.com,Lawyer Data Collection,Mixed,"Data Entry, Data Mining, Excel, Web Scraping, Web Search",Fixed,135,Worldwide,Short-term,https://www.freelancer.com/projects/data-entry/lawyer-data-collection
Freelancer.com,Fun Birthday & Housewarming Invitation Design,Mixed,"Graphic Design, Icon Design, Illustration, Illustrator, Logo Design, Photoshop, Photoshop Design",Fixed,27,Worldwide,Short-term,https://www.freelancer.com/contest/fun-birthday-amp-housewarming-invitation-design-2581220
Freelancer.com,Laravel & Vue.js Web App Development,Mixed,"AngularJS, Bootstrap, Laravel, MySQL, PHP",Fixed,473,Worldwide,Short-term,https://www.freelancer.com/projects/php/laravel-vue-web-app-development-39550064
Freelancer.com,Tally-ERP Data Synchronization Connector,Mixed,"Database Administration, Database Programming, Microsoft Access, SQL, Tally Definition Language",Fixed,15,Worldwide,Short-term,https://www.freelancer.com/projects/database-administration/tally-erp-data-synchronization-connector-39550027
Freelancer.com,Xero Payroll Troubleshooting Expert,Mixed,"Accounting, Bookkeeping, Finance, Intuit QuickBooks, Xero",Fixed,125,Worldwide,Short-term,https://www.freelancer.com/projects/accounting/xero-payroll-troubleshooting-expert
Freelancer.com,Fillable PDF Creation,Mixed,"Data Entry, Electronic Forms, Excel, PDF, Word",Fixed,17,Worldwide,Short-term,https://www.freelancer.com/projects/data-entry/fillable-pdf-creation-39550059
Freelancer.com,"Nostalgic Book Cover Design for ""In The Blink Of An Eye"" - 26/06/2025 12:12 EDT",Mixed,"Graphic Design, Illustration, Illustrator, Logo Design, Photoshop",Fixed,274,Worldwide,Short-term,https://www.freelancer.com/contest/nostalgic-book-cover-design-for-quotin-the-blink-of-an-eyequot-edt-2581219
Freelancer.com,Minimalist Phoenix Logo Design,Mixed,"Banner Design, Graphic Design, Illustrator, Logo Design, Photoshop",Fixed,50,Worldwide,Short-term,https://www.freelancer.com/contest/minimalist-phoenix-logo-design-2581218
Freelancer.com,Steel Bicycle Box Drawings,Mixed,"3D Modelling, AutoCAD, Building Architecture, CAD/CAM, Fusion 360, Product Design, Solidworks",Fixed,611,Worldwide,Short-term,https://www.freelancer.com/projects/cad-cam/steel-bicycle-box-drawings
